ActualRank, GFlops, Version, wins, PolyRank,
1, 1351.06, 10_31999_1024_84__32_512_64_32_64_64, 99, 1, 
2, 1231.44, 10_31999_1024_84__128_512_64_32_64_64, 77, 5, 
3, 1168.12, 10_31999_1024_84__32_128_64_32_64_64, 99, 1, 
4, 1127.3, 10_31999_1024_84__128_128_64_32_64_32, 65, 13, 
5, 1101.35, 10_31999_1024_84__32_32_64_32_32_64, 78, 4, 
6, 1095.91, 10_31999_1024_84__128_128_64_32_32_64, 65, 13, 
7, 1094.96, 10_31999_1024_84__32_512_16_32_64_16, 76, 6, 
8, 1094.01, 10_31999_1024_84__32_512_64_32_32_64, 78, 4, 
9, 1089.18, 10_31999_1024_84__32_128_64_32_32_64, 78, 4, 
10, 1070.86, 10_31999_1024_84__32_512_64_32_64_32, 78, 4, 
11, 1060.8, 10_31999_1024_84__32_128_16_32_64_16, 74, 8, 
12, 1060.42, 10_31999_1024_84__32_128_64_32_64_32, 78, 4, 
13, 1023.03, 10_31999_1024_84__32_128_64_32_32_32, 78, 4, 
14, 1014.14, 10_31999_1024_84__32_512_64_32_32_32, 78, 4, 
15, 996.26, 10_31999_1024_84__32_128_64_32_64_16, 75, 7, 
16, 991.02, 10_31999_1024_84__32_32_64_32_32_32, 78, 4, 
17, 989.8, 10_31999_1024_84__128_128_64_64_64_16, 65, 13, 
18, 988.46, 10_31999_1024_84__128_512_16_64_64_16, 45, 19, 
19, 987.39, 10_31999_1024_84__128_128_64_64_64_32, 69, 11, 
20, 983.12, 10_31999_1024_84__128_512_64_64_64_32, 73, 9, 
21, 981.26, 10_31999_1024_84__32_512_64_32_64_16, 86, 2, 
22, 980.75, 10_31999_1024_84__128_128_64_32_32_32, 65, 13, 
23, 969.71, 10_31999_1024_84__128_512_64_64_64_64, 77, 5, 
24, 966.17, 10_31999_1024_84__32_512_16_32_32_16, 76, 6, 
25, 963.35, 10_31999_1024_84__128_128_64_32_64_64, 71, 10, 
26, 958.96, 10_31999_1024_84__128_512_64_32_32_64, 40, 23, 
27, 956.5, 10_31999_1024_84__32_128_16_32_32_16, 84, 3, 
28, 953.27, 10_31999_1024_84__128_32_64_32_32_32, 41, 22, 
29, 941.29, 10_31999_1024_84__128_512_64_64_32_64, 73, 9, 
30, 939.85, 10_31999_1024_84__128_128_16_64_64_16, 41, 22, 
31, 935.5, 10_31999_1024_84__128_512_16_32_64_16, 62, 15, 
32, 931.8, 10_31999_1024_84__128_512_64_32_64_32, 40, 23, 
33, 928.9, 10_31999_1024_84__128_128_64_64_64_64, 71, 10, 
34, 926.08, 10_31999_1024_84__128_128_16_32_64_16, 55, 16, 
35, 924.94, 10_31999_1024_84__32_32_16_32_32_16, 74, 8, 
36, 904.96, 10_31999_1024_84__128_512_16_32_32_16, 62, 15, 
37, 904.69, 10_31999_1024_84__128_128_64_64_32_64, 63, 14, 
38, 900.55, 10_31999_1024_84__128_512_64_32_32_32, 40, 23, 
39, 889.69, 10_31999_1024_84__128_128_64_64_32_32, 40, 23, 
40, 878.92, 10_31999_1024_84__128_32_16_32_32_16, 41, 22, 
41, 872.57, 10_31999_1024_84__128_32_64_32_32_64, 41, 22, 
42, 871.96, 10_31999_1024_84__128_32_64_64_32_64, 73, 9, 
43, 869.45, 10_31999_1024_84__128_512_64_64_32_32, 40, 23, 
44, 869.0, 10_31999_1024_84__128_32_64_64_32_32, 41, 22, 
45, 868.67, 10_31999_1024_84__128_512_64_32_64_16, 51, 18, 
46, 862.89, 10_31999_1024_84__128_512_64_64_64_16, 40, 23, 
47, 862.02, 10_31999_1024_84__128_512_16_64_32_16, 42, 21, 
48, 849.77, 10_31999_1024_84__32_32_64_32_32_16, 65, 13, 
49, 849.04, 10_31999_1024_84__128_128_64_32_64_16, 44, 20, 
50, 836.87, 10_31999_1024_84__32_512_64_32_32_16, 66, 12, 
51, 834.08, 10_31999_1024_84__128_128_16_32_32_16, 41, 22, 
52, 827.37, 10_31999_1024_84__32_128_64_32_32_16, 65, 13, 
53, 816.01, 10_31999_1024_84__128_32_16_64_32_16, 41, 22, 
54, 813.83, 10_31999_1024_84__128_128_16_64_32_16, 40, 23, 
