ActualRank, GFlops, Version, wins, PolyRank,
1, 577.41, 10_35_8457_2560__35_128_128_35_32_64, 5, 3, 
2, 576.04, 10_35_8457_2560__35_128_512_35_32_64, 5, 3, 
3, 569.99, 10_35_8457_2560__35_128_32_35_64_32, 5, 3, 
4, 569.67, 10_35_8457_2560__35_128_512_35_64_32, 5, 3, 
5, 568.4, 10_35_8457_2560__35_128_128_35_64_32, 5, 3, 
6, 568.06, 10_35_8457_2560__35_128_128_35_32_32, 5, 3, 
7, 564.37, 10_35_8457_2560__35_128_512_35_32_32, 5, 3, 
8, 560.66, 10_35_8457_2560__35_128_32_35_32_32, 5, 3, 
9, 551.75, 10_35_8457_2560__35_128_128_35_64_64, 13, 1, 
10, 551.64, 10_35_8457_2560__35_128_512_35_64_64, 8, 2, 
11, 428.26, 10_35_8457_2560__35_32_128_35_32_64, 0, 4, 
12, 422.82, 10_35_8457_2560__35_32_32_35_32_32, 0, 4, 
13, 421.27, 10_35_8457_2560__35_32_128_35_32_32, 0, 4, 
14, 420.91, 10_35_8457_2560__35_32_512_35_32_32, 0, 4, 
15, 400.53, 10_35_8457_2560__35_32_512_35_32_64, 0, 4, 
