Version,GFLOPS,L1Reuse,L2Reuse,L3Reuse,L4Reuse,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,TotalDataSetSize,PessiL1DataSetSize,PessiL2DataSetSize,PessiL3DataSetSize,PessiMemDataSetSize,PessiTotalDataSetSize
0_7_7_1_1,1604.9,7,4,1,2,74024,492048,1421312,4882440,6869824,17144,466440,1421312,3260416,5165312
0_7_7_1_4,1700.4,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_1_16,1704.7,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_1_64,1702.8,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_1_256,1710,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_4_1,1587.8,7,4,1,2,74024,492048,1421312,4882440,6869824,17144,466440,1421312,3260416,5165312
0_7_7_4_4,1678.6,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_4_16,1710.5,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_4_64,1686.2,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_4_256,1696.6,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_16_1,1601.6,7,4,1,2,74024,492048,1421312,4882440,6869824,17144,466440,1421312,3260416,5165312
0_7_7_16_4,1706,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_16_16,1703,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_16_64,1703.9,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_16_256,1708.5,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_64_1,1578.4,7,4,1,2,74024,492048,1421312,4882440,6869824,17144,466440,1421312,3260416,5165312
0_7_7_64_4,1701.5,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_64_16,1666.1,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_64_64,1692.9,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_7_64_256,1701.6,7,6,0,1,74024,1509912,0,3577856,5161792,17144,699904,567304,3577856,4862208
0_7_28_1_1,1587.3,7,5,0,2,74024,2515464,0,4882440,7471928,17144,851456,819200,3260416,4948216
0_7_28_1_4,1675.5,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_1_16,1675.2,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_1_64,1692.1,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_1_256,1686,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_4_1,1599.3,7,5,0,2,74024,2515464,0,4882440,7471928,17144,851456,819200,3260416,4948216
0_7_28_4_4,1631.2,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_4_16,1641.4,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_4_64,1661.9,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_4_256,1602.6,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_16_1,1576.3,7,5,0,2,74024,2515464,0,4882440,7471928,17144,851456,819200,3260416,4948216
0_7_28_16_4,1716,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_16_16,1632.1,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_16_64,1639.6,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_16_256,1666,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_64_1,1570,7,5,0,2,74024,2515464,0,4882440,7471928,17144,851456,819200,3260416,4948216
0_7_28_64_4,1692.6,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_64_16,1658.1,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_64_64,1668,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_7_28_64_256,1679.4,7,4,0,3,74024,1696272,0,5799936,7570232,17144,851456,819208,3727360,5415168
0_28_7_1_1,1574.2,8,3,1,2,126240,450576,1421312,4882440,6880568,17144,466440,1421312,3260416,5165312
