Config,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
100 56 56 64 256 1 1 0 0 1,2,1486.6,5,2,0,3,34592,89608,0,6475784,3,1619.7,5,4,0,1,34592,333328,0,4007936,4,1490,5,2,0,3,34592,89608,0,6475784,5,1576.4,5,4,0,1,34592,333328,0,4007936
100 56 56 64 64 1 1 0 0 1,2,1667.9,5,2,0,1,34592,89608,0,1593344,3,1720.1,5,2,0,1,34592,89608,0,1593344,4,1713,5,2,0,1,34592,89608,0,1593344,5,1730.1,5,2,0,1,34592,89608,0,1593344
100 56 56 64 64 3 3 1 1 1,2,2571.8,5,10,0,1,34592,952080,0,1782272,3,2582.1,5,10,0,1,34592,952080,0,1782272,4,2390.1,5,2,0,9,34592,89608,0,14794248,5,2399.2,5,2,0,9,34592,89608,0,14794248
100 56 56 256 64 1 1 0 0 1,2,1505,5,2,0,3,34592,89608,0,6475784,3,1492.1,5,4,0,1,34592,333328,0,4007936,4,1466.3,5,2,0,3,34592,89608,0,6475784,5,1506.8,5,2,0,3,34592,89608,0,6475784
100 28 28 256 512 1 1 0 0 1,2,2306.8,5,4,1,2,34592,882192,851968,3735560,3,2053.7,5,6,0,1,34592,1388056,0,2846720,4,2304.6,5,4,1,2,34592,882192,851968,3735560,5,2115,5,4,0,3,34592,428560,0,6411272
100 28 28 256 128 1 1 0 0 1,2,2166.5,5,4,1,2,34592,882192,851968,2138112,3,2242.9,5,6,0,1,34592,515600,0,1292288,4,2200.5,5,4,1,2,34592,882192,851968,2138112,5,2254.5,5,5,1,1,34592,759304,634888,1101824
100 28 28 128 128 3 3 1 1 1,2,2687.9,5,13,0,2,34592,2493712,0,1912832,3,2685.8,5,13,1,1,34592,2215436,650244,1422336,4,2679.3,5,7,6,2,34592,2526728,4301832,1912832,5,2669.4,5,6,7,2,34592,1372680,4860680,1853440
100 28 28 128 512 1 1 0 0 1,2,2349.6,5,5,1,1,34592,1299976,634888,2035712,3,1922.5,5,6,0,1,34592,773648,0,2197504,4,2382,5,5,1,1,34592,1299976,634888,2035712,5,2066.1,5,4,0,3,34592,428560,0,5747712
100 28 28 512 128 1 1 0 0 1,2,2057.8,5,4,0,3,34592,882192,0,5595136,3,2070.4,5,6,0,1,34592,957968,0,2197504,4,2069.7,5,4,0,3,34592,882192,0,5595136,5,2160.1,5,5,1,1,34592,759304,634888,2035712
100 14 14 512 1024 1 1 0 0 1,2,2557.6,5,6,0,1,34592,1371672,0,3120128,3,2071,5,4,0,3,34592,353296,0,7447048,4,2562.2,5,6,0,1,34592,1371672,0,3120128,5,1970.5,5,4,0,3,34592,672784,0,5158408
100 14 14 512 256 1 1 0 0 1,2,2406.2,5,6,0,1,34592,1371672,0,945152,3,2473.8,5,6,0,1,34592,1353240,0,1083392,4,2444.1,5,6,0,1,34592,1371672,0,945152,5,2406.1,5,6,0,1,34592,808472,0,1010688
100 14 14 256 256 3 3 1 1 1,2,2561.2,5,12,1,2,34592,1201944,689152,3084296,3,2130.9,5,9,1,5,34592,2035220,817160,10074116,4,2648.8,5,12,1,2,34592,3221016,689152,3084296,5,2521.7,5,12,2,1,34592,3167512,1511432,2166784
100 14 14 256 1024 1 1 0 0 1,2,2525.3,5,6,0,1,34592,839192,0,1936384,3,2052.2,5,4,0,3,34592,193552,0,4151816,4,2535.9,5,6,0,1,34592,839192,0,1936384,5,2002.6,5,4,0,3,34592,672784,0,3909128
100 14 14 1024 256 1 1 0 0 1,2,2395.5,5,4,0,3,34592,272912,0,3903496,3,2055.4,5,4,1,2,34592,672784,854528,3100680,4,2413.8,5,4,0,3,34592,272912,0,3903496,5,2376.6,5,6,0,1,34592,808472,0,1936384
100 7 7 1024 2048 1 1 0 0 1,2,2282,6,5,0,1,54048,1021208,0,8716032,3,1584.9,6,3,0,3,54048,587024,0,25590024,4,2273.7,6,5,0,1,54048,1021208,0,8716032,5,1470.8,6,3,0,3,54048,1168656,0,10271240
100 7 7 1024 512 1 1 0 0 1,2,2275.3,6,5,0,1,54048,1021208,0,2123520,3,1182.3,6,3,0,3,54048,587024,0,6371592,4,2147.1,6,5,0,1,54048,1021208,0,2123520,5,1813.5,6,5,0,1,54048,768024,0,2254592
100 7 7 512 512 3 3 1 1 1,2,2077.6,8,9,0,3,92960,937496,0,11059208,3,1466.4,6,3,0,11,54048,296208,0,48599312,4,2273.5,6,11,0,3,54048,2967320,0,10815752,5,1923.4,6,11,0,3,54048,3211288,0,10709000
100 7 7 512 2048 1 1 0 0 1,2,2318.6,6,5,0,1,54048,558360,0,4552448,3,1508.8,6,3,0,3,54048,296208,0,13023496,4,2253.4,6,5,0,1,54048,558360,0,4552448,5,1304.4,6,3,0,3,54048,1168656,0,5976584
100 7 7 2048 512 1 1 0 0 1,2,2227.1,6,3,0,3,54048,99344,0,6006792,3,1332.8,6,3,0,3,54048,1168656,0,12630280,4,2263.2,6,3,0,3,54048,99344,0,6006792,5,1848.2,6,5,0,1,54048,768024,0,4552448
