params,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
ofhp = 56 ofwp = 56 kw = 1 ofw = 56 pad_w = 0 nIfm = 64 nOfm = 256 ofh = 56 ifwp = 56 kh = 1 pad_h = 0 nImg = 1 ifhp = 56 ,5,2,3,0,34592,89608,6475784,0
ofhp = 56 ofwp = 56 kw = 1 ofw = 56 pad_w = 0 nIfm = 64 nOfm = 64 ofh = 56 ifwp = 56 kh = 1 pad_h = 0 nImg = 1 ifhp = 56 ,5,2,1,0,34592,89608,1593344,0
ofhp = 56 ofwp = 56 kw = 3 ofw = 56 pad_w = 1 nIfm = 64 nOfm = 64 ofh = 56 ifwp = 56 kh = 3 pad_h = 1 nImg = 1 ifhp = 56 ,5,10,1,0,34592,952080,1782272,0
ofhp = 56 ofwp = 56 kw = 1 ofw = 56 pad_w = 0 nIfm = 256 nOfm = 64 ofh = 56 ifwp = 56 kh = 1 pad_h = 0 nImg = 1 ifhp = 56 ,5,2,3,0,34592,89608,6475784,0
ofhp = 28 ofwp = 28 kw = 1 ofw = 28 pad_w = 0 nIfm = 256 nOfm = 512 ofh = 28 ifwp = 28 kh = 1 pad_h = 0 nImg = 1 ifhp = 28 ,5,4,3,0,34592,882192,4587528,0
ofhp = 28 ofwp = 28 kw = 1 ofw = 28 pad_w = 0 nIfm = 256 nOfm = 128 ofh = 28 ifwp = 28 kh = 1 pad_h = 0 nImg = 1 ifhp = 28 ,5,4,3,0,34592,882192,2990080,0
ofhp = 28 ofwp = 28 kw = 3 ofw = 28 pad_w = 1 nIfm = 128 nOfm = 128 ofh = 28 ifwp = 28 kh = 3 pad_h = 1 nImg = 1 ifhp = 28 ,5,13,2,0,34592,2493712,1912832,0
ofhp = 28 ofwp = 28 kw = 1 ofw = 28 pad_w = 0 nIfm = 128 nOfm = 512 ofh = 28 ifwp = 28 kh = 1 pad_h = 0 nImg = 1 ifhp = 28 ,5,5,2,0,34592,1299976,2670600,0
ofhp = 28 ofwp = 28 kw = 1 ofw = 28 pad_w = 0 nIfm = 512 nOfm = 128 ofh = 28 ifwp = 28 kh = 1 pad_h = 0 nImg = 1 ifhp = 28 ,5,4,3,0,34592,882192,5595136,0
ofhp = 14 ofwp = 14 kw = 1 ofw = 14 pad_w = 0 nIfm = 512 nOfm = 1024 ofh = 14 ifwp = 14 kh = 1 pad_h = 0 nImg = 1 ifhp = 14 ,5,6,1,0,34592,1371672,3120128,0
ofhp = 14 ofwp = 14 kw = 1 ofw = 14 pad_w = 0 nIfm = 512 nOfm = 256 ofh = 14 ifwp = 14 kh = 1 pad_h = 0 nImg = 1 ifhp = 14 ,5,6,1,0,34592,1371672,945152,0
ofhp = 14 ofwp = 14 kw = 3 ofw = 14 pad_w = 1 nIfm = 256 nOfm = 256 ofh = 14 ifwp = 14 kh = 3 pad_h = 1 nImg = 1 ifhp = 14 ,5,12,3,0,34592,1201944,3773448,0
ofhp = 14 ofwp = 14 kw = 1 ofw = 14 pad_w = 0 nIfm = 256 nOfm = 1024 ofh = 14 ifwp = 14 kh = 1 pad_h = 0 nImg = 1 ifhp = 14 ,5,6,1,0,34592,839192,1936384,0
ofhp = 14 ofwp = 14 kw = 1 ofw = 14 pad_w = 0 nIfm = 1024 nOfm = 256 ofh = 14 ifwp = 14 kh = 1 pad_h = 0 nImg = 1 ifhp = 14 ,5,4,3,0,34592,272912,3903496,0
ofhp = 7 ofwp = 7 kw = 1 ofw = 7 pad_w = 0 nIfm = 1024 nOfm = 2048 ofh = 7 ifwp = 7 kh = 1 pad_h = 0 nImg = 1 ifhp = 7 ,6,5,1,0,54048,1021208,8716032,0
ofhp = 7 ofwp = 7 kw = 1 ofw = 7 pad_w = 0 nIfm = 1024 nOfm = 512 ofh = 7 ifwp = 7 kh = 1 pad_h = 0 nImg = 1 ifhp = 7 ,6,5,1,0,54048,1021208,2123520,0
ofhp = 7 ofwp = 7 kw = 3 ofw = 7 pad_w = 1 nIfm = 512 nOfm = 512 ofh = 7 ifwp = 7 kh = 3 pad_h = 1 nImg = 1 ifhp = 7 ,8,9,3,0,92960,937496,11059208,0
ofhp = 7 ofwp = 7 kw = 1 ofw = 7 pad_w = 0 nIfm = 512 nOfm = 2048 ofh = 7 ifwp = 7 kh = 1 pad_h = 0 nImg = 1 ifhp = 7 ,6,5,1,0,54048,558360,4552448,0
ofhp = 7 ofwp = 7 kw = 1 ofw = 7 pad_w = 0 nIfm = 2048 nOfm = 512 ofh = 7 ifwp = 7 kh = 1 pad_h = 0 nImg = 1 ifhp = 7 ,6,3,3,0,54048,99344,6006792,0
