ActualRank,PolyRank,GFLOPS,Version
1,130,2433.1,4
2,132,2430.8,3
3,103,2429.7,0_7_7_16_64
4,75,2429.5,0_28_7_64_1
5,27,2428.5,0_28_28_16_64
6,102,2426.9,0_7_7_4_16
7,78,2426.9,0_28_7_4_1
8,48,2426.8,0_7_28_16_4
9,47,2426.5,0_7_28_64_64
10,129,2425.2,5
11,25,2424.5,0_28_28_1_64
12,80,2424.2,0_28_7_64_64
13,24,2423.6,0_28_28_4_64
14,42,2422.9,0_7_28_64_4
15,81,2421.9,0_28_7_16_16
17,21,2420.9,0_28_28_4_1
16,22,2420.9,0_28_28_1_1
18,101,2420.9,0_7_7_1_4
19,19,2420.3,0_28_28_1_16
20,100,2420.3,0_7_7_64_1
21,18,2420,0_28_28_1_4
22,97,2419.7,0_7_7_16_16
23,49,2419.4,0_7_28_16_16
24,17,2418.8,0_28_28_4_4
25,16,2418.3,0_28_28_16_1
26,77,2417.7,0_28_7_64_4
27,13,2417.4,0_28_28_4_16
28,131,2417.2,2
29,67,2416.1,1_28_7_1_64
30,76,2415.9,0_28_7_16_64
31,56,2415.6,0_7_28_64_1
32,74,2414.7,0_28_7_4_16
33,111,2414.6,0_7_7_16_4
34,83,2414.4,0_28_7_1_1
35,84,2414.3,0_28_7_1_4
36,120,2414,1_28_7_4_1
37,9,2413,1_28_28_1_16
38,128,2412.9,1_28_28_4_1
39,51,2412.9,0_7_28_1_1
40,118,2412.7,1_28_7_1_1
41,66,2412.6,1_28_7_4_64
42,50,2412.5,0_7_28_16_64
43,82,2412.4,0_28_7_64_16
44,126,2412.3,1_28_28_64_1
45,107,2410.7,0_7_7_64_64
46,64,2410.3,1_28_7_64_16
47,63,2410.2,1_28_7_1_16
48,3,2409.7,1_28_28_64_64
49,2,2409.2,1_28_28_4_64
50,20,2408.8,0_28_28_16_4
51,4,2408.1,1_28_28_64_4
52,62,2408,1_28_7_1_4
53,106,2407.8,0_7_7_64_4
54,61,2407.4,1_28_7_4_4
55,45,2407.3,0_7_28_64_16
56,60,2406.7,1_28_7_4_16
57,104,2406.4,0_7_7_64_16
58,23,2405.2,0_28_28_64_1
59,6,2405,1_28_28_16_4
60,44,2404.6,0_7_28_4_1
61,59,2403.8,1_28_7_16_16
62,1,2403.6,1_28_28_16_16
63,79,2403.4,0_28_7_16_1
64,117,2403.1,1_28_7_16_1
65,125,2403,1_28_28_16_1
67,73,2402.8,0_28_7_1_16
66,58,2402.8,1_28_7_64_64
68,7,2402.7,1_28_28_1_64
69,8,2402.1,1_28_28_4_16
70,53,2401.9,0_7_28_4_64
71,11,2401.6,1_28_28_16_64
72,12,2401.2,1_28_28_64_16
74,119,2400.6,1_28_7_64_1
73,98,2400.6,0_7_7_1_64
75,57,2400.4,1_28_7_64_4
76,71,2400.2,0_28_7_4_4
77,41,2399.8,0_7_28_1_64
78,109,2398.7,0_7_7_4_4
79,29,2398.4,1_7_28_1_64
80,26,2398.2,0_28_28_64_16
81,43,2398.1,0_7_28_16_1
82,46,2398,0_7_28_1_16
83,70,2397.8,0_28_7_4_64
84,5,2396.2,1_28_28_1_4
85,112,2395.2,0_7_7_4_64
86,91,2394,1_7_7_64_16
87,110,2393.9,0_7_7_16_1
89,108,2393.1,0_7_7_4_1
88,127,2393.1,1_28_28_1_1
90,14,2392.5,0_28_28_64_4
91,89,2392,1_7_7_4_4
92,30,2391.4,1_7_28_1_16
93,87,2391.4,1_7_7_16_16
94,105,2391,0_7_7_1_16
95,52,2390.1,0_7_28_4_4
96,114,2390,1_7_7_64_1
97,10,2389.7,1_28_28_4_4
98,55,2389.6,0_7_28_1_4
99,72,2389.1,0_28_7_1_64
100,92,2386.9,1_7_7_16_4
101,93,2386,1_7_7_16_64
102,68,2386,1_28_7_16_4
103,15,2385.5,0_28_28_16_16
104,96,2385.2,1_7_7_64_64
105,85,2383.8,1_7_7_64_4
106,54,2382.7,0_7_28_4_16
107,34,2382.5,1_7_28_1_4
108,65,2380.8,1_28_7_16_64
109,86,2379.4,1_7_7_1_64
110,88,2377.7,1_7_7_4_16
111,123,2377.5,1_7_28_16_1
112,69,2377.3,0_28_7_16_4
113,99,2376,0_7_7_1_1
114,116,2376,1_7_7_4_1
115,90,2375.6,1_7_7_4_64
116,121,2374.7,1_7_28_1_1
117,40,2373.1,1_7_28_64_16
118,39,2372.9,1_7_28_64_4
119,122,2372.4,1_7_28_64_1
121,38,2368.6,1_7_28_4_4
120,94,2368.6,1_7_7_1_4
122,124,2367.2,1_7_28_4_1
123,32,2364.8,1_7_28_16_4
124,115,2363.9,1_7_7_16_1
125,113,2361.8,1_7_7_1_1
126,36,2357.2,1_7_28_16_64
127,37,2351.3,1_7_28_4_64
128,95,2345.5,1_7_7_1_16
129,35,2339.7,1_7_28_16_16
130,28,2299.1,0_28_28_64_64
131,33,2198.4,1_7_28_4_16
132,31,1586.2,1_7_28_64_64

