"export KMP_AFFINITY=granularity=fine,compact,1,28
export OMP_NUM_THREADS=28",icc (ICC) 19.0.3.199 20190206,,,,,,,,,,
Config,GFLOPS (Run 1),GFLOPS (Run 2),GFLOPS (Run 3),GFLOPS (Run 4),GFLOPS (Run 5),GFLOPS (Run 6),,Variance: (Best - worst)/Best,Best,Alex naive gemm code,Difference
100 56 56 64 256 1 1 0 0 1,1664.5,1666.1,1665,1673.9,1710,1664.1,,2.68%,1710,1551.2,9.29%
100 56 56 64 64 1 1 0 0 1,2644.9,2627.5,2606.1,2634.5,2654.4,2645.4,,1.82%,2654.4,2421,8.79%
100 56 56 64 64 3 3 1 1 1,3068,2958,3051.9,3032.4,3062.1,3068.9,,3.61%,3068.9,2766.4,9.86%
100 56 56 256 64 1 1 0 0 1,2395.8,2405.3,2407.6,2380.4,2397.2,2404.1,,1.13%,2407.6,2218.5,7.85%
100 28 28 256 512 1 1 0 0 1,2422.9,2312,2396.7,2412,2426.1,2378.1,,4.70%,2426.1,2181.8,10.07%
100 28 28 256 128 1 1 0 0 1,2327.5,2317.5,2326,2386.2,2343.8,2373.1,,2.88%,2386.2,2150.5,9.88%
100 28 28 128 128 3 3 1 1 1,3085.8,3087.8,3086.7,3079.6,3085.3,3084.4,,0.27%,3087.8,2770.2,10.29%
100 28 28 128 512 1 1 0 0 1,2772.9,2667.9,2764.6,2740.7,2770.8,2770.1,,3.79%,2772.9,2519.9,9.12%
100 28 28 512 128 1 1 0 0 1,2700.1,2613.5,2676.1,2688,2682.4,2673.3,,3.21%,2700.1,2444.6,9.46%
100 14 14 512 1024 1 1 0 0 1,2666,2657.1,2668.5,2670.2,2662.5,2669.5,,0.49%,2670.2,2430.7,8.97%
100 14 14 512 256 1 1 0 0 1,2667.3,2663.3,2667.9,2665.2,2663.4,2662.4,,0.21%,2667.9,2431.4,8.86%
100 14 14 256 256 3 3 1 1 1,2869.4,2864.4,2869.1,2869.4,2865.3,2867.7,,0.17%,2869.4,2579.9,10.09%
100 14 14 256 1024 1 1 0 0 1,2827.5,2817.8,2825.6,2820.5,2826.3,2825.5,,0.34%,2827.5,2553.2,9.70%
100 14 14 1024 256 1 1 0 0 1,2810.6,2804.6,2811.3,2805.4,2810.1,2811.6,,0.25%,2811.6,2551.7,9.24%
100 7 7 1024 2048 1 1 0 0 1,2458.5,2457,2458.3,2462.1,2457.5,2459.9,,0.21%,2462.1,2223.9,9.67%
100 7 7 1024 512 1 1 0 0 1,2418.6,2424.1,2422,2420.3,2416.7,2424.2,,0.31%,2424.2,2198.9,9.29%
100 7 7 512 512 3 3 1 1 1,2321.9,2320.2,2322.6,2322.7,2322,2321.7,,0.11%,2322.7,2090.4,10.00%
100 7 7 512 2048 1 1 0 0 1,2436.8,2437.9,2435.8,2435.9,2430.4,2433.4,,0.31%,2437.9,2203.4,9.62%
100 7 7 2048 512 1 1 0 0 1,2454.5,2470.1,2460.1,2438.6,2455.3,2472.6,,1.38%,2472.6,2236.7,9.54%
