Config,Max_GFLOPS,Poly_Top_1GFLOPS
100 56 56 64 256 1 1 0 0 1,87.678,87.678
100 56 56 64 64 1 1 0 0 1,84.166,84.166
100 56 56 64 64 3 3 1 1 1,97.375,97.375
100 56 56 256 64 1 1 0 0 1,91.575,91.575
100 28 28 256 512 1 1 0 0 1,95.626,95.626
100 28 28 256 128 1 1 0 0 1,94.905,94.905
100 28 28 128 128 3 3 1 1 1,98.702,98.702
100 28 28 128 512 1 1 0 0 1,92.943,92.943
100 28 28 512 128 1 1 0 0 1,95.68,95.68
100 14 14 512 1024 1 1 0 0 1,93.762,93.762
100 14 14 512 256 1 1 0 0 1,96.435,93.485
100 14 14 256 256 3 3 1 1 1,95.149,92.651
100 14 14 256 1024 1 1 0 0 1,92.371,92.371
100 14 14 1024 256 1 1 0 0 1,92.021,90.557
100 7 7 1024 2048 1 1 0 0 1,81.336,81.336
100 7 7 1024 512 1 1 0 0 1,80.747,80.747
100 7 7 512 512 3 3 1 1 1,81.851,69.497
100 7 7 512 2048 1 1 0 0 1,80.315,80.315
100 7 7 2048 512 1 1 0 0 1,80.419,80.419
