2,1539.6,5,2,0,3,34592,89608,0,6475784
3,1028.1,5,4,0,1,34592,333328,0,4007936
4,835.34,5,2,0,3,34592,89608,0,6475784
5,1597.9,5,4,0,1,34592,333328,0,4007936
1_7_7_1_1,1524.3,11,4,0,1,59256,2130960,0,3874816
1_7_7_1_4,973.71,11,4,1,2,52856,492048,1421312,4882440
1_7_7_1_16,977.55,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_64,1039.9,9,6,0,1,17456,1472856,0,3577856
1_7_7_1_256,964.26,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_1,875.39,11,4,0,1,59256,2130960,0,3874816
1_7_7_4_4,947.41,11,4,1,2,52856,492048,1421312,4882440
1_7_7_4_16,1031.6,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_64,978.27,9,6,0,1,17456,1472856,0,3577856
1_7_7_4_256,974.08,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_1,844.19,11,4,0,1,59256,2130960,0,3874816
1_7_7_16_4,1015.1,11,4,1,2,52856,492048,1421312,4882440
1_7_7_16_16,950.28,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_64,1015.8,9,6,0,1,17456,1472856,0,3577856
1_7_7_16_256,957.3,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_1,839.47,11,4,0,1,59256,2130960,0,3874816
1_7_7_64_4,964.33,11,4,1,2,52856,492048,1421312,4882440
1_7_7_64_16,1608.6,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_64,970.05,9,6,0,1,17456,1472856,0,3577856
1_7_7_64_256,981.05,9,6,0,1,17456,1472856,0,3577856
1_7_28_1_1,838.54,11,4,0,1,59256,2507272,0,3874816
1_7_28_1_4,980.9,11,5,0,2,52856,2515464,0,4882440
1_7_28_1_16,1022.8,9,4,0,3,17456,409936,0,6146048
1_7_28_1_64,1033.4,9,4,0,3,17456,409936,0,6146048
1_7_28_1_256,1042.7,9,4,0,3,17456,409936,0,6146048
1_7_28_4_1,845.52,11,4,0,1,59256,2507272,0,3874816
1_7_28_4_4,1067.2,11,5,0,2,52856,2515464,0,4882440
1_7_28_4_16,1043.2,9,4,0,3,17456,409936,0,6146048
1_7_28_4_64,1039.5,9,4,0,3,17456,409936,0,6146048
1_7_28_4_256,969.48,9,4,0,3,17456,409936,0,6146048
1_7_28_16_1,845.64,11,4,0,1,59256,2507272,0,3874816
1_7_28_16_4,998.24,11,5,0,2,52856,2515464,0,4882440
1_7_28_16_16,1011,9,4,0,3,17456,409936,0,6146048
1_7_28_16_64,1025.8,9,4,0,3,17456,409936,0,6146048
1_7_28_16_256,1015.3,9,4,0,3,17456,409936,0,6146048
1_7_28_64_1,855.23,11,4,0,1,59256,2507272,0,3874816
1_7_28_64_4,1007.4,11,5,0,2,52856,2515464,0,4882440
1_7_28_64_16,999.66,9,4,0,3,17456,409936,0,6146048
1_7_28_64_64,1034.8,9,4,0,3,17456,409936,0,6146048
1_7_28_64_256,1004.8,9,4,0,3,17456,409936,0,6146048
1_28_7_1_1,863.38,11,4,0,1,70000,2130960,0,3874816
1_28_7_1_4,1047.3,12,3,1,2,121200,450576,1421312,4882440
1_28_7_1_16,1654,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_64,981.57,9,6,0,1,34928,1498384,0,3577856
1_28_7_1_256,1639.8,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_1,870.33,11,4,0,1,70000,2130960,0,3874816
1_28_7_4_4,1658.2,12,3,1,2,121200,450576,1421312,4882440
1_28_7_4_16,999.72,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_64,1007.5,9,6,0,1,34928,1498384,0,3577856
1_28_7_4_256,1025.1,9,6,0,1,34928,1498384,0,3577856
1_28_7_16_1,1535,11,4,0,1,70000,2130960,0,3874816
1_28_7_16_4,1069.1,12,3,1,2,121200,450576,1421312,4882440
1_28_7_16_16,1035.6,9,6,0,1,34928,1498384,0,3577856
