2,1629.8
3,1811.1
4,1623.5
5,1781.6
1_7_7_1_1,1582.3,
1_7_7_1_4,1794.6,
1_7_7_1_16,1423.5,
1_7_7_1_64,1803.9,
1_7_7_1_256,1819.4,
1_7_7_4_1,1588.7,
1_7_7_4_4,1804.3,
1_7_7_4_16,1789.5,
1_7_7_4_64,1836.4,
1_7_7_4_256,1816.8,
1_7_7_16_1,1636.8,
1_7_7_16_4,1825.6,
1_7_7_16_16,1816.1,
1_7_7_16_64,1784.5,
1_7_7_16_256,1818.3,
1_7_7_64_1,1593.1,
1_7_7_64_4,1822.2,
1_7_7_64_16,1810.6,
1_7_7_64_64,1818.2,
1_7_7_64_256,1814,
1_7_28_1_1,1637.2,
1_7_28_1_4,1772.3,
1_7_28_1_16,1827.2,
1_7_28_1_64,1744.6,
1_7_28_1_256,1816.5,
1_7_28_4_1,1559.2,
1_7_28_4_4,1468.8,
1_7_28_4_16,1824.8,
1_7_28_4_64,1782.4,
1_7_28_4_256,1816.3,
1_7_28_16_1,1540,
1_7_28_16_4,1828.8,
1_7_28_16_16,1419.6,
1_7_28_16_64,1759.1,
1_7_28_16_256,1834.8,
1_7_28_64_1,1558.5,
1_7_28_64_4,1806,
1_7_28_64_16,1750.5,
1_7_28_64_64,1785.2,
1_7_28_64_256,1721.2,
1_28_7_1_1,1647.5,
1_28_7_1_4,1730,
1_28_7_1_16,1786.1,
1_28_7_1_64,1636.9,
1_28_7_1_256,1751.2,
1_28_7_4_1,1573.6,
1_28_7_4_4,1750.6,
1_28_7_4_16,1741.8,
1_28_7_4_64,1753.7,
1_28_7_4_256,1784.5,
1_28_7_16_1,1617.9,
1_28_7_16_4,1781.7,
1_28_7_16_16,1742.7,
1_28_7_16_64,1754.6,
1_28_7_16_256,1754.8,
1_28_7_64_1,1600.4,
1_28_7_64_4,1695,
1_28_7_64_16,1766.7,
1_28_7_64_64,1676.1,
1_28_7_64_256,1763.6,
1_28_28_1_1,1264.5,
1_28_28_1_4,1724.2,
1_28_28_1_16,1690.7,
1_28_28_1_64,1807.8,
1_28_28_1_256,1715,
1_28_28_4_1,1666.9,
1_28_28_4_4,1784.8,
1_28_28_4_16,1809.9,
1_28_28_4_64,1775.9,
1_28_28_4_256,1776.1,
1_28_28_16_1,1663.7,
1_28_28_16_4,1777.8,
1_28_28_16_16,1775.9,
1_28_28_16_64,1792.6,
1_28_28_16_256,1774.6,
1_28_28_64_1,1617.3,
1_28_28_64_4,1759.2,
1_28_28_64_16,1778.3,
1_28_28_64_64,1768.7,
1_28_28_64_256,1775.1,
0_7_7_1_1,1617.9,
0_7_7_1_4,1719.9,
0_7_7_1_16,1728,
0_7_7_1_64,1635.9,
0_7_7_1_256,1699.8,
0_7_7_4_1,1617.5,
0_7_7_4_4,1714.7,
0_7_7_4_16,1705.9,
0_7_7_4_64,1705.5,
0_7_7_4_256,1662.4,
0_7_7_16_1,1519,
0_7_7_16_4,1659.4,
0_7_7_16_16,1628.4,
0_7_7_16_64,1370.9,
0_7_7_16_256,1688.5,
0_7_7_64_1,1563.4,
0_7_7_64_4,1719.2,
0_7_7_64_16,1680.2,
0_7_7_64_64,1714,
0_7_7_64_256,1711,
0_7_28_1_1,1647.1,
0_7_28_1_4,1677.2,
0_7_28_1_16,1773.7,
0_7_28_1_64,1698.9,
0_7_28_1_256,1739.2,
0_7_28_4_1,1611.6,
0_7_28_4_4,1757.8,
0_7_28_4_16,1637.7,
0_7_28_4_64,1774.4,
0_7_28_4_256,1675.7,
0_7_28_16_1,1649.3,
0_7_28_16_4,1661.5,
0_7_28_16_16,1740.2,
0_7_28_16_64,1734.2,
0_7_28_16_256,1756.4,
0_7_28_64_1,1570.4,
0_7_28_64_4,1750.2,
0_7_28_64_16,1663.6,
0_7_28_64_64,1353.4,
0_7_28_64_256,1765.8,
0_28_7_1_1,1539.8,
0_28_7_1_4,1761.4,
0_28_7_1_16,1641.4,
0_28_7_1_64,1773,
0_28_7_1_256,1668.6,
0_28_7_4_1,1661.7,
0_28_7_4_4,1691.1,
0_28_7_4_16,1761.6,
0_28_7_4_64,1695.4,
0_28_7_4_256,1772.9,
0_28_7_16_1,1617.4,
0_28_7_16_4,1755.9,
0_28_7_16_16,1742.8,
0_28_7_16_64,1712.3,
0_28_7_16_256,1749.4,
0_28_7_64_1,1313.5,
0_28_7_64_4,1726.3,
0_28_7_64_16,1434.7,
0_28_7_64_64,1707.1,
0_28_7_64_256,1741.1,
0_28_28_1_1,1618.8,
0_28_28_1_4,1664.5,
0_28_28_1_16,1780.5,
0_28_28_1_64,1608.8,
0_28_28_1_256,1395.2,
0_28_28_4_1,1669.6,
0_28_28_4_4,1647.4,
0_28_28_4_16,1784.9,
0_28_28_4_64,1391.1,
0_28_28_4_256,1745.9,
0_28_28_16_1,1635.9,
0_28_28_16_4,1737.5,
0_28_28_16_16,1809.5,
0_28_28_16_64,1785.2,
0_28_28_16_256,1776.2,
0_28_28_64_1,1637.7,
0_28_28_64_4,1720,
0_28_28_64_16,1408.8,
0_28_28_64_64,1791.3,
0_28_28_64_256,1756.8,
