ActualRank,PolyRank,GFLOPS,Version
1,15,88.555,0_28_7_64_256
2,13,88.455,0_28_7_16_256
3,18,88.405,0_28_7_4_16
4,24,88.403,0_28_7_16_64
5,27,88.359,0_28_7_4_4
6,20,88.348,0_28_7_4_256
7,19,88.262,0_28_7_1_64
8,17,88.254,0_28_7_1_4
9,58,88.221,5
10,21,88.197,0_28_7_64_16
11,22,88.149,0_28_7_16_4
12,23,88.141,0_28_7_64_4
13,25,88.088,0_28_7_64_64
14,26,88.053,0_28_7_1_16
15,28,88.049,0_28_7_16_16
16,92,88.036,0_28_28_1_256
17,57,88.024,3
18,16,88.001,0_28_7_4_64
19,53,87.719,0_7_7_4_256
20,54,87.685,0_7_7_16_256
21,93,87.651,0_28_28_1_16
22,55,87.556,0_7_7_64_256
23,38,87.509,1_28_7_1_64
24,56,87.465,0_7_7_1_256
25,94,87.449,0_28_28_16_4
26,95,87.431,0_28_28_4_256
27,96,87.426,0_28_28_1_4
28,34,87.367,1_28_7_1_256
29,97,87.355,0_28_28_64_16
30,98,87.335,0_28_28_16_256
31,52,87.317,0_7_7_64_64
32,99,87.295,0_28_28_1_64
33,51,87.294,0_7_7_16_16
34,100,87.288,0_28_28_64_64
35,50,87.271,0_7_7_64_4
36,143,87.254,1_28_28_64_16
37,77,87.225,1_28_28_1_4
38,141,87.214,1_28_28_1_256
39,149,87.212,1_28_7_64_4
40,101,87.208,0_28_28_4_4
41,49,87.188,0_7_7_4_4
42,41,87.166,0_7_7_4_16
43,48,87.149,0_7_7_4_64
44,31,87.139,1_28_7_64_256
45,47,87.135,0_7_7_1_64
46,102,87.131,0_28_28_64_256
47,139,87.123,1_28_28_16_16
48,78,87.121,1_28_28_64_4
49,45,87.12,0_7_7_16_4
50,136,87.118,1_28_28_4_256
51,103,87.115,0_28_28_4_64
53,75,87.109,1_28_28_16_4
52,14,87.109,0_28_7_1_256
54,42,87.097,0_7_7_16_64
55,137,87.092,1_28_28_16_64
56,43,87.082,0_7_7_1_4
57,138,87.069,1_28_28_64_64
58,35,87.056,1_28_7_4_256
59,105,87.05,0_28_28_16_16
60,91,87.049,0_28_28_4_16
61,44,87.039,0_7_7_64_16
62,46,87.038,0_7_7_1_16
63,140,87.03,1_28_28_1_64
64,148,87.016,1_28_7_1_4
65,135,87.01,1_28_28_4_16
66,40,86.99,1_28_7_1_16
67,39,86.956,1_28_7_4_16
68,37,86.954,1_28_7_64_16
69,106,86.946,0_28_28_64_4
70,36,86.919,1_28_7_16_16
71,147,86.905,1_28_7_16_4
72,33,86.898,1_28_7_16_64
73,104,86.868,0_28_28_16_64
74,32,86.843,1_28_7_64_64
75,76,86.834,1_28_28_4_4
76,142,86.833,1_28_28_4_64
77,30,86.816,1_28_7_16_256
78,150,86.775,1_28_7_4_4
79,115,86.747,0_7_28_16_256
80,122,86.704,0_7_28_64_256
81,146,86.69,1_28_28_16_256
82,145,86.686,1_28_28_1_16
83,108,86.674,0_7_28_1_256
84,121,86.656,0_7_28_4_256
85,29,86.623,1_28_7_4_64
86,144,86.599,1_28_28_64_256
87,120,86.564,0_7_28_4_16
88,119,86.508,0_7_28_1_4
89,118,86.5,0_7_28_4_64
90,109,86.393,0_7_28_1_64
91,110,86.374,0_7_28_64_4
92,111,86.304,0_7_28_16_4
93,112,86.258,0_7_28_1_16
94,113,86.215,0_7_28_64_16
95,114,86.176,0_7_28_16_64
96,116,86.103,0_7_28_16_16
97,117,86.098,0_7_28_4_4
98,164,85.864,4
99,163,85.665,2
100,154,85.557,0_28_7_4_1
101,79,85.49,0_28_28_1_1
