100 56 56 64 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,87.678,5
2,1,87.333,3
3,2,85.412,4
4,2,85.409,2

100 56 56 64 64 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,84.166,5
2,1,84.13,4
3,1,83.903,3
4,1,83.204,2

100 56 56 64 64 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,1,97.375,2
2,1,97.096,3
3,2,85.271,5
4,2,85.035,4

100 56 56 256 64 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,91.575,3
2,2,85.095,2
3,2,85.067,5
4,2,84.842,4

100 28 28 256 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,95.626,3
2,2,93.092,4
3,2,92.828,2
4,3,87.093,5

100 28 28 256 128 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,94.905,5
2,1,93.93,3
3,3,91.197,4
4,3,90.845,2

100 28 28 128 128 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,1,98.702,2
2,3,98.4,4
3,4,98.304,3
4,2,97.537,5

100 28 28 128 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,92.943,3
2,2,92.292,4
3,2,91.351,2
4,3,86.529,5

100 28 28 512 128 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,95.68,5
2,1,94.635,3
3,3,92.938,4
4,3,92.831,2

100 14 14 512 1024 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,93.762,4
2,1,93.264,2
3,3,69.896,5
4,2,65.764,3

100 14 14 512 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,96.435,3
2,1,96.016,4
3,1,95.661,2
4,1,93.485,5

100 14 14 256 256 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,2,95.149,4
2,1,92.651,2
3,3,91.176,5
4,4,65.757,3

100 14 14 256 1024 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,92.371,4
2,1,91.857,2
3,2,72.848,3
4,3,69.684,5

100 14 14 1024 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,92.021,4
2,2,91.512,2
3,2,90.557,5
4,1,70.514,3

100 7 7 1024 2048 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,81.336,4
2,1,80.482,2
3,3,49.969,3
4,2,48.065,5

100 7 7 1024 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,80.747,4
2,1,80.046,2
3,2,69.179,5
4,3,44.957,3

100 7 7 512 512 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,1,81.851,4
2,2,75.663,2
3,3,69.497,5
4,4,49.491,3

100 7 7 512 2048 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,80.315,4
2,1,79.754,2
3,3,47.931,3
4,2,46.433,5

100 7 7 2048 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,80.419,4
2,1,79.641,2
3,2,69.453,5
4,3,48.064,3

