Config,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem
100 56 56 64 256 1 1 0 0 1,2,1486.6,7,2,0,3,3,1619.7,7,4,0,1,4,1490,7,2,0,3,5,1576.4,7,4,0,1
100 56 56 64 64 1 1 0 0 1,2,1667.9,7,2,0,1,3,1720.1,7,2,0,1,4,1713,7,2,0,1,5,1730.1,7,2,0,1
100 56 56 64 64 3 3 1 1 1,2,2571.8,7,14,0,1,3,2582.1,7,14,0,1,4,2390.1,7,2,0,13,5,2399.2,7,2,0,13
100 56 56 256 64 1 1 0 0 1,2,1505,7,2,0,5,3,1492.1,7,6,0,1,4,1466.3,7,2,0,5,5,1506.8,7,2,0,5
100 28 28 256 512 1 1 0 0 1,2,2306.8,9,5,1,1,3,2053.7,10,5,0,1,4,2304.6,9,5,1,1,5,2115,9,2,0,5
100 28 28 256 128 1 1 0 0 1,2,2166.5,9,5,2,0,3,2242.9,10,5,1,0,4,2200.5,9,5,2,0,5,2254.5,10,4,2,0
100 28 28 128 128 3 3 1 1 1,2,2687.9,12,16,0,0,3,2685.8,12,15,1,0,4,2679.3,9,19,0,0,5,2669.4,10,18,0,0
100 28 28 128 512 1 1 0 0 1,2,2349.6,9,6,0,1,3,1922.5,12,3,0,1,4,2382,9,6,0,1,5,2066.1,9,2,0,5
100 28 28 512 128 1 1 0 0 1,2,2057.8,9,3,0,4,3,2070.4,10,5,0,1,4,2069.7,9,3,0,4,5,2160.1,10,4,0,2
100 14 14 512 1024 1 1 0 0 1,2,2557.6,9,6,0,1,3,2071,10,3,0,3,4,2562.2,9,6,0,1,5,1970.5,9,2,3,2
100 14 14 512 256 1 1 0 0 1,2,2406.2,9,7,0,0,3,2473.8,10,5,1,0,4,2444.1,9,7,0,0,5,2406.1,9,7,0,0
100 14 14 256 256 3 3 1 1 1,2,2561.2,12,15,0,1,3,2130.9,10,12,0,6,4,2648.8,9,18,0,1,5,2521.7,9,17,0,2
100 14 14 256 1024 1 1 0 0 1,2,2525.3,9,6,0,1,3,2052.2,10,3,2,1,4,2535.9,9,6,0,1,5,2002.6,9,2,3,2
100 14 14 1024 256 1 1 0 0 1,2,2395.5,9,5,1,1,3,2055.4,10,4,1,1,4,2413.8,9,5,1,1,5,2376.6,9,5,0,2
100 7 7 1024 2048 1 1 0 0 1,2,2282,9,6,0,1,3,1584.9,10,3,0,3,4,2273.7,9,6,0,1,5,1470.8,9,5,0,2
100 7 7 1024 512 1 1 0 0 1,2,2275.3,9,6,0,1,3,1182.3,10,3,0,3,4,2147.1,9,6,0,1,5,1813.5,9,5,0,2
100 7 7 512 512 3 3 1 1 1,2,2077.6,12,12,3,1,3,1466.4,10,4,3,11,4,2273.5,10,16,1,1,5,1923.4,9,15,2,2
100 7 7 512 2048 1 1 0 0 1,2,2318.6,12,3,0,1,3,1508.8,10,3,0,3,4,2253.4,12,3,0,1,5,1304.4,9,5,0,2
100 7 7 2048 512 1 1 0 0 1,2,2227.1,12,3,0,1,3,1332.8,10,3,0,3,4,2263.2,12,3,0,1,5,1848.2,9,5,0,2
