Config,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem,Version,GFLOPS,L1,L2,L3,Mem
100 56 56 64 256 1 1 0 0 1,2,1486.6,8,2,0,4,3,1619.7,8,4,0,2,4,1490,8,2,0,4,5,1576.4,8,4,0,2
100 56 56 64 64 1 1 0 0 1,2,1667.9,8,2,0,2,3,1720.1,8,2,0,2,4,1713,8,2,0,2,5,1730.1,8,2,0,2
100 56 56 64 64 3 3 1 1 1,2,2571.8,8,14,0,2,3,2582.1,8,14,0,2,4,2390.1,8,2,0,14,5,2399.2,8,2,0,14
100 56 56 256 64 1 1 0 0 1,2,1505,8,2,0,6,3,1492.1,8,6,0,2,4,1466.3,8,2,0,6,5,1506.8,8,2,0,6
100 28 28 256 512 1 1 0 0 1,2,2306.8,10,4,2,2,3,2053.7,12,4,0,2,4,2304.6,10,4,2,2,5,2115,10,2,0,6
100 28 28 256 128 1 1 0 0 1,2,2166.5,10,4,4,0,3,2242.9,12,4,2,0,4,2200.5,10,4,4,0,5,2254.5,10,6,2,0
100 28 28 128 128 3 3 1 1 1,2,2687.9,14,14,0,2,3,2685.8,12,16,0,2,4,2679.3,10,18,0,2,5,2669.4,10,18,0,2
100 28 28 128 512 1 1 0 0 1,2,2349.6,10,6,0,2,3,1922.5,12,4,0,2,4,2382,10,6,0,2,5,2066.1,10,2,0,6
100 28 28 512 128 1 1 0 0 1,2,2057.8,10,4,0,4,3,2070.4,12,4,0,2,4,2069.7,10,4,0,4,5,2160.1,10,6,0,2
100 14 14 512 1024 1 1 0 0 1,2,2557.6,10,6,0,2,3,2071,12,2,0,4,4,2562.2,10,6,0,2,5,1970.5,10,2,4,2
100 14 14 512 256 1 1 0 0 1,2,2406.2,10,6,2,0,3,2473.8,12,4,2,0,4,2444.1,10,6,2,0,5,2406.1,10,6,2,0
100 14 14 256 256 3 3 1 1 1,2,2561.2,14,14,0,2,3,2130.9,12,12,0,6,4,2648.8,10,18,0,2,5,2521.7,10,18,0,2
100 14 14 256 1024 1 1 0 0 1,2,2525.3,10,6,0,2,3,2052.2,12,2,2,2,4,2535.9,10,6,0,2,5,2002.6,10,2,4,2
100 14 14 1024 256 1 1 0 0 1,2,2395.5,10,4,2,2,3,2055.4,12,2,2,2,4,2413.8,10,4,2,2,5,2376.6,10,6,0,2
100 7 7 1024 2048 1 1 0 0 1,2,2282,10,6,0,2,3,1584.9,12,2,0,4,4,2273.7,10,6,0,2,5,1470.8,10,6,0,2
100 7 7 1024 512 1 1 0 0 1,2,2275.3,10,6,0,2,3,1182.3,12,2,0,4,4,2147.1,10,6,0,2,5,1813.5,10,6,0,2
100 7 7 512 512 3 3 1 1 1,2,2077.6,14,12,2,0,3,1466.4,12,2,6,8,4,2273.5,10,16,2,0,5,1923.4,10,14,4,0
100 7 7 512 2048 1 1 0 0 1,2,2318.6,10,6,0,0,3,1508.8,12,2,0,2,4,2253.4,10,6,0,0,5,1304.4,10,6,0,0
100 7 7 2048 512 1 1 0 0 1,2,2227.1,10,6,0,0,3,1332.8,12,2,0,2,4,2263.2,10,6,0,0,5,1848.2,10,6,0,0
