Parameters: ofw = 56; ofh = 56; nIfm = 64; ifhp = 56; ofhp = 56; pad_w = 0; kw = 1; ifwp = 56; ofwp = 56; nOfm = 256; pad_h = 0; kh = 1; nImg = 1; 
dependence 	 min_WS_size 	 max_WS_size
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and ofm_tile' = ofm_tile and ifm_tile' = t_ifm_tile' and oi' = oi and ofm' = ofm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and oj < ofhp and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < ofwp and 0 <= ofm <= 15 and 0 <= ifm <= 15 and t_ifm_tile' > t_ifm_tile and 16t_ifm_tile' <= -16 + nIfm and 0 <= kj' < kh and 0 <= ki' < kw and 0 <= ifm' <= 15 }	1154	2560
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = oj + kj - oj' and oi' = ki + oi - ki' and ifm' = ifm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and (t_ofm_tile') mod 4 = 0 and (t_oj') mod 4 = 0 and (t_oi') mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and kj < 2pad_h + ifhp - oj and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < 2pad_w + ifwp - ki and 0 <= ofm <= 15 and 0 <= ifm <= 15 and t_ofm_tile' > t_ofm_tile and 0 <= t_oj' <= 2147483640 and oj' >= t_oj' and -kh + oj + kj < oj' <= 3 + t_oj' and oj' <= oj + kj and oj' < ofh and 0 <= t_oi' <= 2147483604 and t_oi' < ofw and t_ofm_tile' <= ofm_tile' <= 3 + t_ofm_tile' and 16ofm_tile' <= -16 + nOfm and ki' >= -27 + ki + oi - t_oi' and 0 <= ki' <= ki + oi - t_oi' and ki' < kw and 0 <= ofm' <= 15 }	405506	815104
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and oi' = ki + oi - ki' and ifm' = ifm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and 0 <= t_oi <= 2147483604 and t_oi < ofw and ofm_tile >= t_ofm_tile and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and kj < 2pad_h + ifhp - oj and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < 2pad_w + ifwp - ki and 0 <= ofm <= 15 and 0 <= ifm <= 15 and ofm_tile < ofm_tile' <= 3 + t_ofm_tile and 16ofm_tile' <= -16 + nOfm and ki' >= 0 and -27 - t_oi + ki + oi <= ki' <= -t_oi + ki + oi and ki' < kw and 0 <= ofm' <= 15 }	3266	6208
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and ofm' = ofm and ifm' = ifm and (t_oi) mod 28 = 0 and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi') mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and oj >= t_oj and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and 0 <= ofm <= 15 and 0 <= ifm <= 15 and oj < oj' <= 3 + t_oj and oj' < ofh and 0 <= t_oi' <= 2147483604 and t_oi' < ofw and t_oi' <= oi' <= 27 + t_oi' }	11266	25600
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and ofm' = ofm and ifm' = ifm and (t_oi) mod 28 = 0 and (t_oj) mod 4 = 0 and (t_ofm_tile) mod 4 = 0 and (t_oj') mod 4 = 0 and (t_oi') mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and t_oj >= 0 and t_oj <= oj <= 3 + t_oj and oj < ofh and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and 0 <= ofm <= 15 and 0 <= ifm <= 15 and t_oj < t_oj' <= 2147483640 and t_oj' <= oj' <= 3 + t_oj' and oj' < ofh and 0 <= t_oi' <= 2147483604 and t_oi' < ofw and t_oi' <= oi' <= 27 + t_oi' }	32770	376832
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and ofm' = ofm and ifm' = ifm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and 0 <= ki < kw and oi >= t_oi and 0 <= ofm <= 15 and 0 <= ifm <= 15 and oi < oi' <= 27 + t_oi }	290	1120
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and oi' = oi and ofm' = ofm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and oj < ofhp and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < ofwp and 0 <= ofm <= 15 and ifm >= 0 and ifm < ifm' <= 15 }	5	31
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and oi' = oi and ifm' = ifm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and kj < 2pad_h + ifhp - oj and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < 2pad_w + ifwp - ki and ofm >= 0 and 0 <= ifm <= 15 and ofm < ofm' <= 15 }	35	271
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and ofm_tile' = ofm_tile and t_ifm_tile' = t_ifm_tile and ifm_tile' = t_ifm_tile and kj' = kj and ki' = ki and ofm' = ofm and ifm' = ifm and (t_oi) mod 28 = 0 and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi') mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and t_oi >= 0 and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 16t_ifm_tile <= -16 + nIfm and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and 0 <= ofm <= 15 and 0 <= ifm <= 15 and t_oi < t_oi' <= 2147483604 and t_oi' < ofw and t_oi' <= oi' <= 27 + t_oi' }	7680	7680
[pad_w, ifwp, pad_h, ifhp, nIfm, ofwp, ofhp, nOfm, kw, kh, nImg, ofh, ofw] -> { S_13[img, t_ofm_tile, t_oj, oj, t_oi, ofm_tile, t_ifm_tile, ifm_tile, kj, ki, oi, ofm, ifm] -> S_13[img', t_ofm_tile', t_oj', oj', t_oi', ofm_tile', t_ifm_tile', ifm_tile', kj', ki', oi', ofm', ifm'] : ifm_tile = t_ifm_tile and img' = img and t_ofm_tile' = t_ofm_tile and t_oj' = t_oj and oj' = oj and t_oi' = t_oi and ofm_tile' = ofm_tile and ifm_tile' = t_ifm_tile' and oi' = oi and ofm' = ofm and (t_ofm_tile) mod 4 = 0 and (t_oj) mod 4 = 0 and (t_oi) mod 28 = 0 and 0 <= img < nImg and t_ofm_tile >= 0 and 0 <= t_oj <= 2147483640 and t_oj <= oj <= 3 + t_oj and oj < ofh and oj < ofhp and 0 <= t_oi <= 2147483604 and t_oi < ofw and t_ofm_tile <= ofm_tile <= 3 + t_ofm_tile and 16ofm_tile <= -16 + nOfm and t_ifm_tile >= 0 and 0 <= kj < kh and 0 <= ki < kw and t_oi <= oi <= 27 + t_oi and oi < ofwp and 0 <= ofm <= 15 and 0 <= ifm <= 15 and t_ifm_tile' > t_ifm_tile and 16t_ifm_tile' <= -16 + nIfm and 0 <= kj' < kh and 0 <= ki' < kw and 0 <= ifm' <= 15 }	1154	2560
