ActualRank,PolyRank,GFLOPS,Version,wins
1,68,2791,0_7_28_1_4,0
2,43,2776.3,0_7_7_1_16,0
3,65,2771.9,0_28_28_1_64,0
4,41,2769.7,0_28_7_1_16,0
5,44,2768,0_7_7_1_64,0
6,39,2763.1,5,0
7,64,2754,0_28_28_1_4,0
8,45,2747.9,0_7_7_1_4,0
9,63,2743.3,0_28_28_1_16,0
10,40,2732,0_28_7_1_64,0
11,67,2731.7,0_7_28_1_64,0
12,66,2716.2,0_7_28_1_16,0
13,42,2697.2,0_28_7_1_4,0
14,27,2667,0_7_7_256_64,0
15,26,2653.4,0_7_7_16_16,0
16,25,2650.2,0_7_7_16_64,0
17,17,2649.7,0_28_7_64_16,0
18,24,2649.7,0_7_7_64_4,0
19,15,2648.8,0_28_7_16_64,0
20,14,2647.1,0_28_7_256_64,0
21,13,2646.4,0_28_7_64_4,0
22,23,2646.2,0_7_7_64_64,0
23,28,2645.6,0_7_7_64_16,0
24,11,2645.2,0_28_7_256_4,0
25,12,2644.2,0_28_7_256_16,0
26,16,2642.8,0_28_7_16_4,0
27,20,2641.9,0_7_7_256_4,0
28,59,2636.1,0_7_7_4_4,0
29,140,2632.8,0_7_28_16_64,0
30,55,2630.4,0_28_7_4_16,0
31,54,2629.6,0_28_7_4_64,0
32,60,2629,0_7_7_4_16,0
33,61,2628.8,0_7_7_4_64,0
34,147,2625.8,0_7_28_16_4,0
35,21,2621.8,0_7_7_16_4,0
36,139,2617.5,0_28_28_16_16,0
37,56,2613.5,0_28_7_4_4,0
38,151,2612.3,0_7_28_64_16,0
39,156,2605,1_28_28_256_4,0
41,95,2604.3,1_28_28_4_1,0
40,22,2604.3,0_7_7_256_16,0
42,98,2594.8,1_28_28_1_1,0
43,148,2594.3,0_7_28_16_16,0
44,143,2593.3,0_7_28_64_4,0
45,138,2591.5,0_28_28_1_1,0
46,108,2590.6,0_7_7_16_1,0
47,154,2587.9,0_7_7_1_1,0
48,83,2587.8,0_7_28_4_4,0
49,127,2587.6,0_28_28_256_4,0
50,88,2587,1_28_7_256_1,0
51,153,2585.6,0_28_7_1_1,0
52,144,2584.6,0_7_28_256_16,0
53,152,2583.5,0_7_28_256_64,0
54,84,2583.3,0_7_28_4_64,0
55,124,2581.8,0_7_28_4_1,0
56,131,2580.3,0_28_28_16_4,0
57,132,2567.6,0_28_28_256_1,0
58,125,2565.7,0_28_28_64_16,0
59,19,2565.5,0_28_7_16_16,0
60,62,2564.7,3,0
61,136,2563.8,0_28_28_256_16,0
62,137,2563.8,0_28_28_64_1,0
63,82,2563.7,0_7_28_4_16,0
64,81,2562.9,0_28_28_4_4,0
65,128,2561.9,4,0
66,123,2561.2,0_28_28_4_1,0
67,135,2560.6,2,0
68,85,2556.8,1_28_7_4_1,0
69,111,2556.3,1_28_7_4_4,0
70,99,2551.3,1_28_28_16_1,0
71,96,2550,1_28_28_256_1,0
72,89,2547.4,1_28_7_16_1,0
73,80,2547.1,0_28_28_4_64,0
74,110,2545.9,0_7_7_256_1,0
75,3,2544.5,1_28_7_64_64,0
76,86,2541.7,1_28_7_64_1,0
77,18,2540.5,0_28_7_64_64,0
78,121,2540,0_28_7_4_1,0
