100 56 56 64 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,3,1619.7,3
2,4,1576.4,5
3,1,1490,4
4,2,1486.6,2

100 56 56 64 64 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,1730.1,5
2,2,1720.1,3
3,3,1713,4
4,4,1667.9,2

100 56 56 64 64 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,3,2582.1,3
2,4,2571.8,2
3,1,2399.2,5
4,2,2390.1,4

100 56 56 256 64 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,1506.8,5
2,2,1505,2
3,4,1492.1,3
4,3,1466.3,4

100 28 28 256 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,3,2306.8,2
2,4,2304.6,4
3,1,2115,5
4,2,2053.7,3

100 28 28 256 128 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,2254.5,5
2,2,2242.9,3
3,3,2200.5,4
4,4,2166.5,2

100 28 28 128 128 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,1,2687.9,2
2,4,2685.8,3
3,3,2679.3,4
4,2,2669.4,5

100 28 28 128 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,3,2382,4
2,4,2349.6,2
3,1,2066.1,5
4,2,1922.5,3

100 28 28 512 128 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,4,2160.1,5
2,3,2070.4,3
3,1,2069.7,4
4,2,2057.8,2

100 14 14 512 1024 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,2562.2,4
2,3,2557.6,2
3,1,2071,3
4,4,1970.5,5

100 14 14 512 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,4,2473.8,3
2,2,2444.1,4
3,3,2406.2,2
4,1,2406.1,5

100 14 14 256 256 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,4,2648.8,4
2,1,2561.2,2
3,3,2521.7,5
4,2,2130.9,3

100 14 14 256 1024 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,1,2535.9,4
2,2,2525.3,2
3,3,2052.2,3
4,4,2002.6,5

100 14 14 1024 256 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,2413.8,4
2,3,2395.5,2
3,1,2376.6,5
4,4,2055.4,3

100 7 7 1024 2048 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,2282,2
2,3,2273.7,4
3,1,1584.9,3
4,4,1470.8,5

100 7 7 1024 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,3,2275.3,2
2,4,2147.1,4
3,2,1813.5,5
4,1,1182.3,3

100 7 7 512 512 3 3 1 1 1
ActualRank,PolyRank,GFLOPS,Version
1,2,2273.5,4
2,4,2077.6,2
3,1,1923.4,5
4,3,1466.4,3

100 7 7 512 2048 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,2,2318.6,2
2,3,2253.4,4
3,1,1508.8,3
4,4,1304.4,5

100 7 7 2048 512 1 1 0 0 1
ActualRank,PolyRank,GFLOPS,Version
1,3,2263.2,4
2,4,2227.1,2
3,1,1848.2,5
4,2,1332.8,3

