Config,Max_GFLOPS,Poly_Top_1GFLOPS
100 56 56 64 256 1 1 0 0 1,1619.7,1490
100 56 56 64 64 1 1 0 0 1,1730.1,1730.1
100 56 56 64 64 3 3 1 1 1,2582.1,2399.2
100 56 56 256 64 1 1 0 0 1,1506.8,1506.8
100 28 28 256 512 1 1 0 0 1,2306.8,2115
100 28 28 256 128 1 1 0 0 1,2254.5,2254.5
100 28 28 128 128 3 3 1 1 1,2687.9,2687.9
100 28 28 128 512 1 1 0 0 1,2382,2066.1
100 28 28 512 128 1 1 0 0 1,2160.1,2069.7
100 14 14 512 1024 1 1 0 0 1,2562.2,2071
100 14 14 512 256 1 1 0 0 1,2473.8,2406.1
100 14 14 256 256 3 3 1 1 1,2648.8,2561.2
100 14 14 256 1024 1 1 0 0 1,2535.9,2535.9
100 14 14 1024 256 1 1 0 0 1,2413.8,2376.6
100 7 7 1024 2048 1 1 0 0 1,2282,1584.9
100 7 7 1024 512 1 1 0 0 1,2275.3,1182.3
100 7 7 512 512 3 3 1 1 1,2273.5,1923.4
100 7 7 512 2048 1 1 0 0 1,2318.6,1508.8
100 7 7 2048 512 1 1 0 0 1,2263.2,1848.2
