100 14 14 512 256 1 1 0 0 1,,,,,
ActualRank,PolyRank,GFLOPS,Version,,Correlation_coefficient
1,4,2687.9,2,,-0.553814612
2,10,2685.8,3,,
3,6,2679.3,4,,
4,5,2669.4,5,,
5,36,2648.8,4,,
6,38,2582.1,3,,
7,37,2571.8,2,,
8,26,2562.2,4,,
9,11,2561.2,2,,
10,27,2557.6,2,,
11,20,2535.9,4,,
12,19,2525.3,2,,
13,35,2521.7,5,,
14,9,2473.8,3,,
15,3,2444.1,4,,
16,51,2413.8,4,,
17,2,2406.2,2,,
18,1,2406.1,5,,
19,75,2399.2,5,,
20,52,2395.5,2,,
21,76,2390.1,4,,
22,29,2382,4,,
23,18,2376.6,5,,
24,30,2349.6,2,,
25,15,2318.6,2,,
26,55,2306.8,2,,
27,54,2304.6,4,,
28,24,2282,2,,
29,25,2275.3,2,,
30,23,2273.7,4,,
31,44,2273.5,4,,
32,31,2263.2,4,,
33,7,2254.5,5,,
34,14,2253.4,4,,
35,8,2242.9,3,,
36,32,2227.1,2,,
37,39,2200.5,4,,
38,40,2166.5,2,,
39,13,2160.1,5,,
40,22,2147.1,4,,
41,68,2130.9,3,,
42,62,2115,5,,
43,50,2077.6,2,,
44,60,2071,3,,
45,21,2070.4,3,,
46,66,2069.7,4,,
47,61,2066.1,5,,
48,65,2057.8,2,,
49,53,2055.4,3,,
50,28,2053.7,3,,
51,56,2052.2,3,,
52,57,2002.6,5,,
53,58,1970.5,5,,
54,45,1923.4,5,,
55,12,1922.5,3,,
56,17,1848.2,5,,
57,16,1813.5,5,,
58,49,1730.1,5,,
59,48,1720.1,3,,
60,47,1713,4,,
61,46,1667.9,2,,
62,41,1619.7,3,,
63,64,1584.9,3,,
64,42,1576.4,5,,
65,59,1508.8,3,,
66,69,1506.8,5,,
67,70,1505,2,,
68,43,1492.1,3,,
69,71,1490,4,,
70,72,1486.6,2,,
71,34,1470.8,5,,
72,74,1466.4,3,,
73,73,1466.3,4,,
74,67,1332.8,3,,
75,33,1304.4,5,,
76,63,1182.3,3,,
