"Machine: Model name:            Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz
Stepping:              7
CPU MHz:               1800.000
CPU max MHz:           2701.0000
CPU min MHz:           1000.0000
BogoMIPS:              5400.00
Virtualization:        VT-x
L1d cache:             32K
L1i cache:             32K
L2 cache:              1024K
L3 cache:              39424K
NUMA node0 CPU(s):     0-27,56-83
NUMA node1 CPU(s):     28-55,84-111
",#NAME?,,N=1,Data is located at: /nfs_home/stavarag/work/test/polyscientist/apps/experiments/perf_data,,,#NAME?,,N=28,,,,#NAME?,,,N=1,,,,,,#NAME?,,,N=28,,,#NAME?,,,N=1,,,#NAME?,,,N=28,,,#NAME?,,,N=1,,,#NAME?,,,N=28,,,,
Config,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,,,Difference,,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,Layer,Max_GFLOPS,Poly_Top_1GFLOPS,numVariants,Poly_Top_0.050000,Difference,,,
100 56 56 64 256 1 1 0 0 1,93.617,93.617,4,93.617,0.00%,,1726.8,1726.8,4,1726.8,0.00%,,93.617,93.617,4,93.617,,,0.00%,,1,1726.8,1726.8,4,1726.8,0.00%,,93.617,93.617,4,93.617,0.00%,,1726.8,1726.8,4,1726.8,0.00%,1,93.617,93.617,4,93.617,0.00%,1,1726.8,1726.8,4,1726.8,0.00%,,,
100 56 56 64 64 1 1 0 0 1,91.28,91.28,4,91.28,0.00%,,2652,2652,4,2652,0.00%,,91.28,91.28,4,91.28,,,0.00%,,2,2652,2652,4,2652,0.00%,,91.28,91.28,4,91.28,0.00%,,2652,2652,4,2652,0.00%,2,91.28,91.28,4,91.28,0.00%,2,2652,2652,4,2652,0.00%,,,
100 56 56 64 64 3 3 1 1 1,104.26,104.26,4,104.26,0.00%,,2888.2,2888.2,4,2888.2,0.00%,,104.26,104.26,4,104.26,,,0.00%,,3,2888.2,2888.2,4,2888.2,0.00%,,104.26,104.26,4,104.26,0.00%,,2888.2,2888.2,4,2888.2,0.00%,3,104.26,104.26,4,104.26,0.00%,3,2888.2,2888.2,4,2888.2,0.00%,,,
100 56 56 256 64 1 1 0 0 1,98.766,98.766,4,98.766,0.00%,,2292.5,2292.5,4,2292.5,0.00%,,98.766,98.766,4,98.766,,,0.00%,,4,2292.5,2292.5,4,2292.5,0.00%,,98.766,98.766,4,98.766,0.00%,,2292.5,2292.5,4,2292.5,0.00%,4,98.766,98.766,4,98.766,0.00%,4,2292.5,2292.5,4,2292.5,0.00%,,,
100 28 28 256 512 1 1 0 0 1,102.23,102.23,4,102.23,0.00%,,2607.3,2391.2,4,2391.2,-8.29%,,102.23,102.23,4,102.23,,,0.00%,,5,2607.3,2607.3,4,2607.3,0.00%,,102.23,102.23,4,102.23,0.00%,,2607.3,2391.2,4,2391.2,-8.29%,5,102.23,102.23,4,102.23,0.00%,5,2607.3,2607.3,4,2607.3,0.00%,,,
100 28 28 256 128 1 1 0 0 1,102.97,100.75,4,100.75,-2.16%,,2825.5,2784.3,4,2784.3,-1.46%,,102.97,102.97,4,102.97,,,0.00%,,6,2825.5,2825.5,4,2825.5,0.00%,,102.97,102.97,4,102.97,0.00%,,2825.5,2825.5,4,2825.5,0.00%,6,102.97,102.97,4,102.97,0.00%,6,2825.5,2825.5,4,2825.5,0.00%,,,
100 28 28 128 128 3 3 1 1 1,105.45,105.45,4,105.45,0.00%,,2937.8,2937.8,4,2937.8,0.00%,,105.45,105.45,4,105.45,,,0.00%,,7,2937.8,2937.8,4,2937.8,0.00%,,105.45,105.45,4,105.45,0.00%,,2937.8,2937.8,4,2937.8,0.00%,7,105.45,105.45,4,105.45,0.00%,7,2937.8,2937.8,4,2937.8,0.00%,,,
100 28 28 128 512 1 1 0 0 1,99.017,99.017,4,99.017,0.00%,,2684.6,2317.5,4,2317.5,-13.67%,,99.017,99.017,4,99.017,,,0.00%,,8,2684.6,2684.6,4,2684.6,0.00%,,99.017,98.963,4,98.963,-0.05%,,2684.6,2317.5,4,2317.5,-13.67%,8,99.017,98.963,4,98.963,-0.05%,8,2684.6,2684.6,4,2684.6,0.00%,,,
100 28 28 512 128 1 1 0 0 1,102.53,102.42,4,102.42,-0.11%,,2723.6,2723.6,4,2723.6,0.00%,,102.53,102.53,4,102.53,,,0.00%,,9,2723.6,2723.6,4,2723.6,0.00%,,102.53,102.42,4,102.42,-0.11%,,2723.6,2598.9,4,2598.9,-4.58%,9,102.53,102.42,4,102.42,-0.11%,9,2723.6,2723.6,4,2723.6,0.00%,,,
